evento_id,entidade_id,pos_full
89929,48436dade18ac8b2bce089ec2a041202,7
45935,48436dade18ac8b2bce089ec2a041202,15
49859,48436dade18ac8b2bce089ec2a041202,23
26174,48436dade18ac8b2bce089ec2a041202,31
26143,48436dade18ac8b2bce089ec2a041202,39
26144,48436dade18ac8b2bce089ec2a041202,47
39955,48436dade18ac8b2bce089ec2a041202,55
110337,48436dade18ac8b2bce089ec2a041202,63
62158,48436dade18ac8b2bce089ec2a041202,71
101885,48436dade18ac8b2bce089ec2a041202,79
28456,48436dade18ac8b2bce089ec2a041202,87
93440,48436dade18ac8b2bce089ec2a041202,95
93441,48436dade18ac8b2bce089ec2a041202,103
40483,48436dade18ac8b2bce089ec2a041202,111
92794,48436dade18ac8b2bce089ec2a041202,119
100948,48436dade18ac8b2bce089ec2a041202,127
44050,48436dade18ac8b2bce089ec2a041202,135
92635,48436dade18ac8b2bce089ec2a041202,143
84341,48436dade18ac8b2bce089ec2a041202,151
72530,48436dade18ac8b2bce089ec2a041202,159
72531,48436dade18ac8b2bce089ec2a041202,167
78528,48436dade18ac8b2bce089ec2a041202,175
99919,48436dade18ac8b2bce089ec2a041202,183
40202,48436dade18ac8b2bce089ec2a041202,191
71371,48436dade18ac8b2bce089ec2a041202,199
73774,48436dade18ac8b2bce089ec2a041202,207
81717,48436dade18ac8b2bce089ec2a041202,215
97909,48436dade18ac8b2bce089ec2a041202,223
24516,48436dade18ac8b2bce089ec2a041202,231
13017,48436dade18ac8b2bce089ec2a041202,239
80700,48436dade18ac8b2bce089ec2a041202,247
74844,48436dade18ac8b2bce089ec2a041202,255
36334,48436dade18ac8b2bce089ec2a041202,263
99298,48436dade18ac8b2bce089ec2a041202,271
62982,48436dade18ac8b2bce089ec2a041202,279
8298,48436dade18ac8b2bce089ec2a041202,287
11564,48436dade18ac8b2bce089ec2a041202,295
5346,48436dade18ac8b2bce089ec2a041202,303
58644,48436dade18ac8b2bce089ec2a041202,311
58645,48436dade18ac8b2bce089ec2a041202,319
102339,48436dade18ac8b2bce089ec2a041202,327
69079,48436dade18ac8b2bce089ec2a041202,335
94829,48436dade18ac8b2bce089ec2a041202,343
94830,48436dade18ac8b2bce089ec2a041202,351
83181,48436dade18ac8b2bce089ec2a041202,359
62967,48436dade18ac8b2bce089ec2a041202,367
61736,48436dade18ac8b2bce089ec2a041202,375
16796,48436dade18ac8b2bce089ec2a041202,383
77579,48436dade18ac8b2bce089ec2a041202,391
67459,48436dade18ac8b2bce089ec2a041202,399
650,48436dade18ac8b2bce089ec2a041202,407
70176,48436dade18ac8b2bce089ec2a041202,415
24674,48436dade18ac8b2bce089ec2a041202,423
75516,48436dade18ac8b2bce089ec2a041202,431
48851,48436dade18ac8b2bce089ec2a041202,439
